kendalltau,p-val,ROI
0.6970886,0.00019817433,V1
0.7618082,4.0147635e-05,V2
0.7752113,2.2081747e-05,V3
0.7239626,0.00016680012,V3A
0.55891263,0.0044857403,V3B
0.5975416,0.0025434867,hV4
0.69346994,0.00020135679,V7
0.56763554,0.0031531868,MT
