comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer26', 'layer24')",0.19512637,0.0,0.14870802,0.24154472,18,33195,267.29165646166956,0.0
"('layer26', 'layer25')",0.20598441,0.0,0.15956606,0.25240275,18,33195,267.29165646166956,0.0
"('layer26', 'layer26')",0.0,1.0,-0.046418346,0.046418346,18,33195,267.29165646166956,0.0
"('layer26', 'layer27')",0.351812,0.0,0.29496136,0.40866265,18,33195,267.29165646166956,0.0
"('layer26', 'layer28')",0.4375944,0.0,0.38074377,0.49444506,18,33195,267.29165646166956,0.0
"('layer26', 'layer29')",0.36820555,0.0,0.3113549,0.4250562,18,33195,267.29165646166956,0.0
"('layer26', 'layer30')",0.45080465,0.0,0.393954,0.50765526,18,33195,267.29165646166956,0.0
"('layer26', 'layer31')",0.34184983,0.0,0.2849992,0.39870048,18,33195,267.29165646166956,0.0
"('layer26', 'layer32')",0.13068038,0.0,0.07382975,0.18753101,18,33195,267.29165646166956,0.0
"('layer26', 'layer33a')",0.15146121,0.0,0.09461058,0.20831184,18,33195,267.29165646166956,0.0
"('layer26', 'layer34a')",0.16696113,0.0,0.12054279,0.21337949,18,33195,267.29165646166956,0.0
"('layer26', 'layer35a')",0.11202219,0.0,0.07181836,0.15222603,18,33195,267.29165646166956,0.0
"('layer26', 'layer36a')",0.1549083,0.0,0.11470883,0.19510777,18,33195,267.29165646166956,0.0
"('layer26', 'layer37')",0.090038866,0.123647995,-0.00842932,0.18850705,18,33195,267.29165646166956,0.0
"('layer27', 'layer19')",-0.15658943,0.0,-0.20848672,-0.104692146,18,33195,267.29165646166956,0.0
"('layer27', 'layer20')",0.06419256,0.0020561318,0.012295273,0.11608985,18,33195,267.29165646166956,0.0
"('layer27', 'layer21')",-0.054875888,0.02518996,-0.106773175,-0.0029785975,18,33195,267.29165646166956,0.0
"('layer27', 'layer22')",-0.37760538,0.0,-0.42950267,-0.3257081,18,33195,267.29165646166956,0.0
"('layer27', 'layer23')",-0.30380213,0.0,-0.35569942,-0.25190485,18,33195,267.29165646166956,0.0
"('layer27', 'layer24')",-0.15668565,0.0,-0.21353628,-0.099835016,18,33195,267.29165646166956,0.0
"('layer27', 'layer25')",-0.1458276,0.0,-0.20267823,-0.08897697,18,33195,267.29165646166956,0.0
"('layer27', 'layer26')",-0.351812,0.0,-0.40866265,-0.29496136,18,33195,267.29165646166956,0.0
"('layer27', 'layer27')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer27', 'layer28')",0.085782394,0.0006781981,0.020136937,0.15142785,18,33195,267.29165646166956,0.0
"('layer27', 'layer29')",0.016393527,0.99999595,-0.04925193,0.08203898,18,33195,267.29165646166956,0.0
"('layer27', 'layer30')",0.098992616,1.8999692e-05,0.03334716,0.16463807,18,33195,267.29165646166956,0.0
"('layer27', 'layer31')",-0.009962194,1.0,-0.07560765,0.055683263,18,33195,267.29165646166956,0.0
"('layer27', 'layer32')",-0.22113164,0.0,-0.2867771,-0.15548618,18,33195,267.29165646166956,0.0
"('layer27', 'layer33a')",-0.2003508,0.0,-0.26599628,-0.13470535,18,33195,267.29165646166956,0.0
"('layer27', 'layer34a')",-0.18485089,0.0,-0.24170151,-0.12800026,18,33195,267.29165646166956,0.0
"('layer27', 'layer35a')",-0.23978983,0.0,-0.2916905,-0.18788916,18,33195,267.29165646166956,0.0
"('layer27', 'layer36a')",-0.1969037,0.0,-0.248801,-0.14500642,18,33195,267.29165646166956,0.0
"('layer27', 'layer37')",-0.26177317,0.0,-0.36556774,-0.1579786,18,33195,267.29165646166956,0.0
"('layer28', 'layer19')",-0.24237183,0.0,-0.2942691,-0.19047454,18,33195,267.29165646166956,0.0
"('layer28', 'layer20')",-0.02158983,0.99496883,-0.07348712,0.03030746,18,33195,267.29165646166956,0.0
"('layer28', 'layer21')",-0.14065829,0.0,-0.19255558,-0.088761,18,33195,267.29165646166956,0.0
"('layer28', 'layer22')",-0.46338776,0.0,-0.5152851,-0.41149047,18,33195,267.29165646166956,0.0
"('layer28', 'layer23')",-0.38958454,0.0,-0.44148183,-0.33768725,18,33195,267.29165646166956,0.0
"('layer28', 'layer24')",-0.24246804,0.0,-0.29931867,-0.18561742,18,33195,267.29165646166956,0.0
"('layer28', 'layer25')",-0.23161,0.0,-0.28846064,-0.17475937,18,33195,267.29165646166956,0.0
"('layer28', 'layer26')",-0.4375944,0.0,-0.49444506,-0.38074377,18,33195,267.29165646166956,0.0
"('layer28', 'layer27')",-0.085782394,0.0006781981,-0.15142785,-0.020136937,18,33195,267.29165646166956,0.0
"('layer28', 'layer28')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer28', 'layer29')",-0.06938887,0.025306184,-0.13503432,-0.0037434094,18,33195,267.29165646166956,0.0
"('layer28', 'layer30')",0.013210222,0.9999999,-0.052435234,0.07885568,18,33195,267.29165646166956,0.0
"('layer28', 'layer31')",-0.09574459,4.8115042e-05,-0.16139005,-0.030099131,18,33195,267.29165646166956,0.0
"('layer28', 'layer32')",-0.30691403,0.0,-0.3725595,-0.24126858,18,33195,267.29165646166956,0.0
"('layer28', 'layer33a')",-0.2861332,0.0,-0.35177866,-0.22048774,18,33195,267.29165646166956,0.0
"('layer28', 'layer34a')",-0.27063328,0.0,-0.32748392,-0.21378265,18,33195,267.29165646166956,0.0
"('layer28', 'layer35a')",-0.32557222,0.0,-0.3774729,-0.27367154,18,33195,267.29165646166956,0.0
"('layer28', 'layer36a')",-0.2826861,0.0,-0.3345834,-0.23078883,18,33195,267.29165646166956,0.0
"('layer28', 'layer37')",-0.34755555,0.0,-0.45135012,-0.24376097,18,33195,267.29165646166956,0.0
"('layer29', 'layer19')",-0.17298296,0.0,-0.22488025,-0.12108567,18,33195,267.29165646166956,0.0
"('layer29', 'layer20')",0.047799036,0.11587977,-0.0040982547,0.09969632,18,33195,267.29165646166956,0.0
"('layer29', 'layer21')",-0.071269415,0.00022102798,-0.1231667,-0.019372124,18,33195,267.29165646166956,0.0
"('layer29', 'layer22')",-0.3939989,0.0,-0.44589618,-0.3421016,18,33195,267.29165646166956,0.0
"('layer29', 'layer23')",-0.32019567,0.0,-0.37209296,-0.2682984,18,33195,267.29165646166956,0.0
"('layer29', 'layer24')",-0.17307918,0.0,-0.2299298,-0.11622854,18,33195,267.29165646166956,0.0
"('layer29', 'layer25')",-0.16222113,0.0,-0.21907176,-0.1053705,18,33195,267.29165646166956,0.0
"('layer29', 'layer26')",-0.36820555,0.0,-0.4250562,-0.3113549,18,33195,267.29165646166956,0.0
"('layer29', 'layer27')",-0.016393527,0.99999595,-0.08203898,0.04925193,18,33195,267.29165646166956,0.0
"('layer29', 'layer28')",0.06938887,0.025306184,0.0037434094,0.13503432,18,33195,267.29165646166956,0.0
"('layer29', 'layer29')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer29', 'layer30')",0.08259909,0.0014760807,0.016953632,0.14824454,18,33195,267.29165646166956,0.0
"('layer29', 'layer31')",-0.026355721,0.9967168,-0.09200118,0.039289735,18,33195,267.29165646166956,0.0
"('layer29', 'layer32')",-0.23752517,0.0,-0.30317062,-0.17187971,18,33195,267.29165646166956,0.0
"('layer29', 'layer33a')",-0.21674433,0.0,-0.2823898,-0.15109888,18,33195,267.29165646166956,0.0
"('layer29', 'layer34a')",-0.20124441,0.0,-0.25809506,-0.14439379,18,33195,267.29165646166956,0.0
"('layer29', 'layer35a')",-0.25618336,0.0,-0.30808404,-0.20428269,18,33195,267.29165646166956,0.0
"('layer29', 'layer36a')",-0.21329725,0.0,-0.26519454,-0.16139996,18,33195,267.29165646166956,0.0
"('layer29', 'layer37')",-0.27816668,0.0,-0.38196126,-0.1743721,18,33195,267.29165646166956,0.0
"('layer30', 'layer19')",-0.25558206,0.0,-0.30747935,-0.20368478,18,33195,267.29165646166956,0.0
"('layer30', 'layer20')",-0.034800053,0.6670502,-0.08669734,0.017097238,18,33195,267.29165646166956,0.0
"('layer30', 'layer21')",-0.1538685,0.0,-0.20576578,-0.10197121,18,33195,267.29165646166956,0.0
"('layer30', 'layer22')",-0.47659796,0.0,-0.52849525,-0.42470068,18,33195,267.29165646166956,0.0
"('layer30', 'layer23')",-0.40279475,0.0,-0.45469204,-0.35089746,18,33195,267.29165646166956,0.0
"('layer30', 'layer24')",-0.25567827,0.0,-0.3125289,-0.19882764,18,33195,267.29165646166956,0.0
"('layer30', 'layer25')",-0.24482022,0.0,-0.30167085,-0.1879696,18,33195,267.29165646166956,0.0
"('layer30', 'layer26')",-0.45080465,0.0,-0.50765526,-0.393954,18,33195,267.29165646166956,0.0
"('layer30', 'layer27')",-0.098992616,1.8999692e-05,-0.16463807,-0.03334716,18,33195,267.29165646166956,0.0
"('layer30', 'layer28')",-0.013210222,0.9999999,-0.07885568,0.052435234,18,33195,267.29165646166956,0.0
"('layer30', 'layer29')",-0.08259909,0.0014760807,-0.14824454,-0.016953632,18,33195,267.29165646166956,0.0
"('layer30', 'layer30')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer30', 'layer31')",-0.10895481,9.0409594e-07,-0.17460027,-0.043309353,18,33195,267.29165646166956,0.0
"('layer30', 'layer32')",-0.32012427,0.0,-0.38576972,-0.2544788,18,33195,267.29165646166956,0.0
"('layer30', 'layer33a')",-0.2993434,0.0,-0.36498886,-0.23369795,18,33195,267.29165646166956,0.0
"('layer30', 'layer34a')",-0.28384352,0.0,-0.34069416,-0.22699289,18,33195,267.29165646166956,0.0
"('layer30', 'layer35a')",-0.33878243,0.0,-0.3906831,-0.28688174,18,33195,267.29165646166956,0.0
"('layer30', 'layer36a')",-0.29589632,0.0,-0.3477936,-0.24399903,18,33195,267.29165646166956,0.0
"('layer30', 'layer37')",-0.36076576,0.0,-0.46456033,-0.25697118,18,33195,267.29165646166956,0.0
"('layer31', 'layer19')",-0.14662725,0.0,-0.19852453,-0.09472996,18,33195,267.29165646166956,0.0
"('layer31', 'layer20')",0.07415476,8.266081e-05,0.022257466,0.12605205,18,33195,267.29165646166956,0.0
"('layer31', 'layer21')",-0.044913694,0.19384652,-0.09681098,0.0069835964,18,33195,267.29165646166956,0.0
"('layer31', 'layer22')",-0.36764318,0.0,-0.41954046,-0.3157459,18,33195,267.29165646166956,0.0
"('layer31', 'layer23')",-0.29383993,0.0,-0.34573722,-0.24194264,18,33195,267.29165646166956,0.0
"('layer31', 'layer24')",-0.14672346,0.0,-0.20357409,-0.08987283,18,33195,267.29165646166956,0.0
"('layer31', 'layer25')",-0.1358654,0.0,-0.19271603,-0.07901477,18,33195,267.29165646166956,0.0
"('layer31', 'layer26')",-0.34184983,0.0,-0.39870048,-0.2849992,18,33195,267.29165646166956,0.0
"('layer31', 'layer27')",0.009962194,1.0,-0.055683263,0.07560765,18,33195,267.29165646166956,0.0
"('layer31', 'layer28')",0.09574459,4.8115042e-05,0.030099131,0.16139005,18,33195,267.29165646166956,0.0
"('layer31', 'layer29')",0.026355721,0.9967168,-0.039289735,0.09200118,18,33195,267.29165646166956,0.0
"('layer31', 'layer30')",0.10895481,9.0409594e-07,0.043309353,0.17460027,18,33195,267.29165646166956,0.0
"('layer31', 'layer31')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer31', 'layer32')",-0.21116945,0.0,-0.2768149,-0.145524,18,33195,267.29165646166956,0.0
"('layer31', 'layer33a')",-0.19038862,0.0,-0.25603408,-0.12474316,18,33195,267.29165646166956,0.0
"('layer31', 'layer34a')",-0.1748887,0.0,-0.23173933,-0.118038066,18,33195,267.29165646166956,0.0
"('layer31', 'layer35a')",-0.22982764,0.0,-0.28172833,-0.17792697,18,33195,267.29165646166956,0.0
"('layer31', 'layer36a')",-0.18694152,0.0,-0.2388388,-0.13504423,18,33195,267.29165646166956,0.0
"('layer31', 'layer37')",-0.25181097,0.0,-0.35560554,-0.1480164,18,33195,267.29165646166956,0.0
"('layer32', 'layer19')",0.064542204,0.0018532571,0.012644914,0.11643949,18,33195,267.29165646166956,0.0
"('layer32', 'layer20')",0.28532422,0.0,0.23342693,0.3372215,18,33195,267.29165646166956,0.0
"('layer32', 'layer21')",0.16625574,0.0,0.114358455,0.21815303,18,33195,267.29165646166956,0.0
"('layer32', 'layer22')",-0.15647373,0.0,-0.20837101,-0.10457644,18,33195,267.29165646166956,0.0
"('layer32', 'layer23')",-0.082670495,3.579145e-06,-0.13456778,-0.030773204,18,33195,267.29165646166956,0.0
"('layer32', 'layer24')",0.06444598,0.009268833,0.0075953463,0.121296614,18,33195,267.29165646166956,0.0
"('layer32', 'layer25')",0.07530403,0.00050513673,0.018453399,0.13215466,18,33195,267.29165646166956,0.0
"('layer32', 'layer26')",-0.13068038,0.0,-0.18753101,-0.07382975,18,33195,267.29165646166956,0.0
"('layer32', 'layer27')",0.22113164,0.0,0.15548618,0.2867771,18,33195,267.29165646166956,0.0
"('layer32', 'layer28')",0.30691403,0.0,0.24126858,0.3725595,18,33195,267.29165646166956,0.0
"('layer32', 'layer29')",0.23752517,0.0,0.17187971,0.30317062,18,33195,267.29165646166956,0.0
"('layer32', 'layer30')",0.32012427,0.0,0.2544788,0.38576972,18,33195,267.29165646166956,0.0
"('layer32', 'layer31')",0.21116945,0.0,0.145524,0.2768149,18,33195,267.29165646166956,0.0
"('layer32', 'layer32')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer32', 'layer33a')",0.020780832,0.99985945,-0.044864625,0.08642629,18,33195,267.29165646166956,0.0
"('layer32', 'layer34a')",0.036280748,0.7489572,-0.020569885,0.09313138,18,33195,267.29165646166956,0.0
"('layer32', 'layer35a')",-0.018658191,0.99919444,-0.07055886,0.03324248,18,33195,267.29165646166956,0.0
"('layer32', 'layer36a')",0.024227925,0.98173726,-0.027669366,0.07612521,18,33195,267.29165646166956,0.0
"('layer32', 'layer37')",-0.040641516,0.9975881,-0.14443609,0.063153066,18,33195,267.29165646166956,0.0
"('layer33a', 'layer19')",0.043761373,0.2335826,-0.008135918,0.09565866,18,33195,267.29165646166956,0.0
"('layer33a', 'layer20')",0.26454335,0.0,0.21264607,0.31644064,18,33195,267.29165646166956,0.0
"('layer33a', 'layer21')",0.14547491,0.0,0.09357762,0.1973722,18,33195,267.29165646166956,0.0
"('layer33a', 'layer22')",-0.17725456,0.0,-0.22915184,-0.12535727,18,33195,267.29165646166956,0.0
"('layer33a', 'layer23')",-0.10345133,3.9335568e-10,-0.15534861,-0.051554035,18,33195,267.29165646166956,0.0
"('layer33a', 'layer24')",0.04366515,0.40325406,-0.013185485,0.10051578,18,33195,267.29165646166956,0.0
"('layer33a', 'layer25')",0.054523204,0.078510575,-0.0023274298,0.111373834,18,33195,267.29165646166956,0.0
"('layer33a', 'layer26')",-0.15146121,0.0,-0.20831184,-0.09461058,18,33195,267.29165646166956,0.0
"('layer33a', 'layer27')",0.2003508,0.0,0.13470535,0.26599628,18,33195,267.29165646166956,0.0
"('layer33a', 'layer28')",0.2861332,0.0,0.22048774,0.35177866,18,33195,267.29165646166956,0.0
"('layer33a', 'layer29')",0.21674433,0.0,0.15109888,0.2823898,18,33195,267.29165646166956,0.0
"('layer33a', 'layer30')",0.2993434,0.0,0.23369795,0.36498886,18,33195,267.29165646166956,0.0
"('layer33a', 'layer31')",0.19038862,0.0,0.12474316,0.25603408,18,33195,267.29165646166956,0.0
"('layer33a', 'layer32')",-0.020780832,0.99985945,-0.08642629,0.044864625,18,33195,267.29165646166956,0.0
"('layer33a', 'layer33a')",0.0,1.0,-0.06564546,0.06564546,18,33195,267.29165646166956,0.0
"('layer33a', 'layer34a')",0.015499916,0.9999843,-0.04135072,0.07235055,18,33195,267.29165646166956,0.0
"('layer33a', 'layer35a')",-0.039439023,0.42443642,-0.09133969,0.012461648,18,33195,267.29165646166956,0.0
"('layer33a', 'layer36a')",0.003447093,1.0,-0.048450198,0.055344384,18,33195,267.29165646166956,0.0
"('layer33a', 'layer37')",-0.061422348,0.8482265,-0.16521692,0.042372234,18,33195,267.29165646166956,0.0
"('layer34a', 'layer19')",0.028261455,0.5790075,-0.011938013,0.06846093,18,33195,267.29165646166956,0.0
"('layer34a', 'layer20')",0.24904345,0.0,0.20884398,0.28924292,18,33195,267.29165646166956,0.0
"('layer34a', 'layer21')",0.129975,0.0,0.08977554,0.17017448,18,33195,267.29165646166956,0.0
"('layer34a', 'layer22')",-0.19275448,0.0,-0.23295395,-0.152555,18,33195,267.29165646166956,0.0
