comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer33a', 'layer19')",-0.59135103,0.0,-0.6109228,-0.57177925,18,33195,5044.077351770932,0.0
"('layer33a', 'layer20')",-0.58206755,0.0,-0.60163933,-0.56249577,18,33195,5044.077351770932,0.0
"('layer33a', 'layer21')",-0.43684423,0.0,-0.456416,-0.41727245,18,33195,5044.077351770932,0.0
"('layer33a', 'layer22')",-0.4990747,0.0,-0.5186465,-0.47950292,18,33195,5044.077351770932,0.0
"('layer33a', 'layer23')",-0.41084218,0.0,-0.43041396,-0.3912704,18,33195,5044.077351770932,0.0
"('layer33a', 'layer24')",-0.3128296,0.0,-0.33426943,-0.2913898,18,33195,5044.077351770932,0.0
"('layer33a', 'layer25')",-0.13494714,0.0,-0.15638696,-0.11350732,18,33195,5044.077351770932,0.0
"('layer33a', 'layer26')",-0.083866015,0.0,-0.10530583,-0.062426202,18,33195,5044.077351770932,0.0
"('layer33a', 'layer27')",-0.15743424,0.0,-0.1821908,-0.13267767,18,33195,5044.077351770932,0.0
"('layer33a', 'layer28')",-0.092938855,0.0,-0.11769542,-0.06818229,18,33195,5044.077351770932,0.0
"('layer33a', 'layer29')",-0.08096795,0.0,-0.10572451,-0.056211382,18,33195,5044.077351770932,0.0
"('layer33a', 'layer30')",-0.054923624,0.0,-0.07968019,-0.030167058,18,33195,5044.077351770932,0.0
"('layer33a', 'layer31')",-0.026275009,0.02397929,-0.051031575,-0.0015184431,18,33195,5044.077351770932,0.0
"('layer33a', 'layer32')",-0.026716083,0.019127319,-0.05147265,-0.0019595174,18,33195,5044.077351770932,0.0
"('layer33a', 'layer33a')",0.0,1.0,-0.024756566,0.024756566,18,33195,5044.077351770932,0.0
"('layer33a', 'layer34a')",-0.021067128,0.060798835,-0.04250694,0.00037268735,18,33195,5044.077351770932,0.0
"('layer33a', 'layer35a')",0.0066811293,0.99959844,-0.01289193,0.026254188,18,33195,5044.077351770932,0.0
"('layer33a', 'layer36a')",-0.05733812,0.0,-0.0769099,-0.037766334,18,33195,5044.077351770932,0.0
"('layer33a', 'layer37')",-0.084481046,0.0,-0.123624615,-0.04533748,18,33195,5044.077351770932,0.0
"('layer34a', 'layer19')",-0.5702839,0.0,-0.58544415,-0.5551236,18,33195,5044.077351770932,0.0
"('layer34a', 'layer20')",-0.5610004,0.0,-0.57616067,-0.54584014,18,33195,5044.077351770932,0.0
"('layer34a', 'layer21')",-0.4157771,0.0,-0.43093732,-0.40061685,18,33195,5044.077351770932,0.0
"('layer34a', 'layer22')",-0.47800756,0.0,-0.4931678,-0.46284732,18,33195,5044.077351770932,0.0
"('layer34a', 'layer23')",-0.38977504,0.0,-0.40493527,-0.3746148,18,33195,5044.077351770932,0.0
"('layer34a', 'layer24')",-0.2917625,0.0,-0.30926803,-0.27425697,18,33195,5044.077351770932,0.0
"('layer34a', 'layer25')",-0.11388001,0.0,-0.13138555,-0.096374474,18,33195,5044.077351770932,0.0
"('layer34a', 'layer26')",-0.06279889,0.0,-0.08030442,-0.045293353,18,33195,5044.077351770932,0.0
"('layer34a', 'layer27')",-0.13636711,0.0,-0.15780693,-0.1149273,18,33195,5044.077351770932,0.0
